State,City,Order Date,Distributor_Name,Location,Beverage_Category,Beverage_Name,Price (INR),Rating,Rating Count
Karnataka,Bengaluru,29/06/2025,Ludhiana Pepsi Distributor,Rajarajeshwari Nagar,Carbonated Soft Drink,Mountain Dew,133.9,4.0,0
Karnataka,Bengaluru,2025-03-04 00:00:00,Delhi NCR Distribution,Kengeri,Packaged Water,Aquafina Sparkling,52.0,4.5,25
Karnataka,Bengaluru,15/01/2025,Pune Pepsi Distributor,Kengeri,Iced Tea,Lipton Ice Tea Lemon,117.0,4.7,48
Karnataka,Bengaluru,17/04/2025,Ghaziabad Supply Chain,Kengeri,Juice,Tropicana Guava,65.0,4.6,65
Karnataka,Bengaluru,13/03/2025,Punjab Beverage Depot,Kengeri,Sports Drink,Gatorade Lemon,130.0,4.0,0
Karnataka,Bengaluru,2025-08-07 00:00:00,Amritsar Beverage Hub,Kengeri,Flavored Drink,Nimbooz Masala Soda,312.0,4.0,0
Karnataka,Bengaluru,21/01/2025,Bhopal Beverage Hub,Kengeri,Juice,Tropicana Orange,98.0,4.0,34
Karnataka,Bengaluru,13/04/2025,Ludhiana Pepsi Distributor,Kengeri,Energy Drink,Sting Gold Rush,137.0,4.0,0
Karnataka,Bengaluru,2025-02-05 00:00:00,Jabalpur Distribution Center,Kengeri,Juice,Tropicana Pineapple,241.0,4.4,29
Karnataka,Bengaluru,30/07/2025,Faridabad Pepsi Hub,Kengeri,Iced Tea,Lipton Ice Tea Peach,195.0,4.9,51
Karnataka,Bengaluru,2025-03-08 00:00:00,Amritsar Beverage Hub,Kengeri,Flavored Drink,Nimbooz Masala Soda,312.0,4.0,0
Karnataka,Bengaluru,16/03/2025,Chennai Pepsi Distributor,Kengeri,Juice,Tropicana Guava,234.0,4.0,0
Karnataka,Bengaluru,22/07/2025,Jabalpur Distribution Center,Kengeri,Flavored Drink,Nimbooz Lemon,286.0,4.0,0
Karnataka,Bengaluru,29/03/2025,Ahmedabad Beverage Depot,Kengeri,Energy Drink,Sting Gold Rush,312.0,4.0,0
Karnataka,Bengaluru,27/04/2025,Jaipur Beverage Distributor,Kengeri,Carbonated Soft Drink,7UP,286.0,4.8,4
Karnataka,Bengaluru,2025-10-04 00:00:00,Hyderabad Beverage Hub,Kengeri,Juice,Tropicana Apple,260.0,4.5,26
Karnataka,Bengaluru,14/04/2025,Patna Beverage Depot,Kengeri,Juice,Slice Mango,299.0,4.0,0
Karnataka,Bengaluru,2025-01-06 00:00:00,Raipur Beverage Depot,Kengeri,Flavored Drink,Nimbooz Lemon,247.0,4.2,24
Karnataka,Bengaluru,2025-11-05 00:00:00,Jaipur Beverage Distributor,Kengeri,Packaged Water,Aquafina Sparkling,260.0,3.7,16
Karnataka,Bengaluru,30/05/2025,Hyderabad Beverage Hub,Kengeri,Flavored Drink,Nimbooz Lemon,286.0,4.0,0
Karnataka,Bengaluru,22/02/2025,Noida Beverage Distributor,Kengeri,Carbonated Soft Drink,Mirinda Orange,260.0,4.0,0
Karnataka,Bengaluru,2025-02-01 00:00:00,Kochi Beverage Depot,Kengeri,Energy Drink,Sting Gold Rush,260.0,4.0,0
Karnataka,Bengaluru,29/03/2025,Delhi NCR Distribution,Kengeri,Juice,Slice Mango,260.0,4.0,0
Karnataka,Bengaluru,24/08/2025,Ghaziabad Supply Chain,Kengeri,Juice,Tropicana Guava,260.0,4.2,9
